source_group_id,template,norm_ro_ne_norm_rs,render_ro_ne_rs,render_deterministic
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,T0,True,True,True
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,T3,True,True,True
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,T4,True,True,True
335059d400355094616bc325ef0848eda0060b94b91bf17aa229387a74b6c2fe,T5,True,True,True
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,T0,True,True,True
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,T3,True,True,True
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,T4,True,True,True
37fd7343def15a982f55039a6fd91953c9aec931123a52d0f01f0e4298e0f327,T5,True,True,True
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,T0,True,True,True
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,T3,True,True,True
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,T4,True,True,True
38197b9f21a2cbc6219c9edadf1b00c23fd75944c8ed0462d4fb2984382e2454,T5,True,True,True
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,T0,True,True,True
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,T3,True,True,True
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,T4,True,True,True
3832009ffefb8053acc8f41b409ffc903ba02cb06ee1f396131afe3a64f7f714,T5,True,True,True
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,T0,True,True,True
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,T3,True,True,True
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,T4,True,True,True
3975f704337b080024800027d2e29bc96ed1f384966e94429dc7897299354c6c,T5,True,True,True
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,T0,True,True,True
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,T3,True,True,True
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,T4,True,True,True
398a76fc83c24119abafed142f0472b7bf7450ccca75cac5e41f71c680f8b506,T5,True,True,True
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,T0,True,True,True
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,T3,True,True,True
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,T4,True,True,True
39f61c2d75b7fe6d51ef30f35eec36827fd3e075b56c61c3a34d13069985a50f,T5,True,True,True
3adcd84400767f05f41b0270094c7e4a8e857511c7e63e9255e8ee6eb09c1f2e,T0,True,True,True
3adcd84400767f05f41b0270094c7e4a8e857511c7e63e9255e8ee6eb09c1f2e,T3,True,True,True
3adcd84400767f05f41b0270094c7e4a8e857511c7e63e9255e8ee6eb09c1f2e,T4,True,True,True
3adcd84400767f05f41b0270094c7e4a8e857511c7e63e9255e8ee6eb09c1f2e,T5,True,True,True
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,T0,True,True,True
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,T3,True,True,True
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,T4,True,True,True
3d03e1bbfc46d35670f0c6fca59977c81f4a8cdc88a6bca7a3d60ab8063a471e,T5,True,True,True
3d13ddd9f6cad6c1c863e4fbdaa8409a5c0dfafcc2eea2766fabd1b1c6e015d6,T0,True,True,True
3d13ddd9f6cad6c1c863e4fbdaa8409a5c0dfafcc2eea2766fabd1b1c6e015d6,T3,True,True,True
3d13ddd9f6cad6c1c863e4fbdaa8409a5c0dfafcc2eea2766fabd1b1c6e015d6,T4,True,True,True
3d13ddd9f6cad6c1c863e4fbdaa8409a5c0dfafcc2eea2766fabd1b1c6e015d6,T5,True,True,True
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,T0,True,True,True
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,T3,True,True,True
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,T4,True,True,True
3d63d7febc2e16bbd6a1ae6283266aae607bf41661d0ebe4b433e6bbf8b36422,T5,True,True,True
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,T0,True,True,True
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,T3,True,True,True
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,T4,True,True,True
3dd056aadf1ba84092fcc9b21ef87dd26564c3486de97f4306b599e30773fdc6,T5,True,True,True
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,T0,True,True,True
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,T3,True,True,True
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,T4,True,True,True
3eb632ea98f9fce2b2a44308e6ff72c9c6ae3b443f9d0183474b60876eccb773,T5,True,True,True
3ee096de72cb3b0dfd08b81812498b3c90600256873b702dfe6c8228f2c9c0a4,T0,True,True,True
3ee096de72cb3b0dfd08b81812498b3c90600256873b702dfe6c8228f2c9c0a4,T3,True,True,True
3ee096de72cb3b0dfd08b81812498b3c90600256873b702dfe6c8228f2c9c0a4,T4,True,True,True
3ee096de72cb3b0dfd08b81812498b3c90600256873b702dfe6c8228f2c9c0a4,T5,True,True,True
3f4368f134d45f2838ffaafce8c9a314e61a3bcb5d4e22c3fd0f72b73d01aa8a,T0,True,True,True
3f4368f134d45f2838ffaafce8c9a314e61a3bcb5d4e22c3fd0f72b73d01aa8a,T3,True,True,True
3f4368f134d45f2838ffaafce8c9a314e61a3bcb5d4e22c3fd0f72b73d01aa8a,T4,True,True,True
3f4368f134d45f2838ffaafce8c9a314e61a3bcb5d4e22c3fd0f72b73d01aa8a,T5,True,True,True
3f7112327a3cfef5de23e93e4a1880826ae70b39c367298aad1f40d9c3d98af2,T0,True,True,True
3f7112327a3cfef5de23e93e4a1880826ae70b39c367298aad1f40d9c3d98af2,T3,True,True,True
3f7112327a3cfef5de23e93e4a1880826ae70b39c367298aad1f40d9c3d98af2,T4,True,True,True
3f7112327a3cfef5de23e93e4a1880826ae70b39c367298aad1f40d9c3d98af2,T5,True,True,True
406903d1cda4ad5f13b43d25e0af38e781a94521fedb3f39765befa05ecf9299,T0,True,True,True
406903d1cda4ad5f13b43d25e0af38e781a94521fedb3f39765befa05ecf9299,T3,True,True,True
406903d1cda4ad5f13b43d25e0af38e781a94521fedb3f39765befa05ecf9299,T4,True,True,True
406903d1cda4ad5f13b43d25e0af38e781a94521fedb3f39765befa05ecf9299,T5,True,True,True
41488a0975678237b0b358441e37e50020b7824ca58dc2ad8b6b05dbf1dce1e4,T0,True,True,True
41488a0975678237b0b358441e37e50020b7824ca58dc2ad8b6b05dbf1dce1e4,T3,True,True,True
41488a0975678237b0b358441e37e50020b7824ca58dc2ad8b6b05dbf1dce1e4,T4,True,True,True
41488a0975678237b0b358441e37e50020b7824ca58dc2ad8b6b05dbf1dce1e4,T5,True,True,True
41972e19b17353b471daa83ca263985b90734a684c6cf04de158ceba557bba20,T0,True,True,True
41972e19b17353b471daa83ca263985b90734a684c6cf04de158ceba557bba20,T3,True,True,True
41972e19b17353b471daa83ca263985b90734a684c6cf04de158ceba557bba20,T4,True,True,True
41972e19b17353b471daa83ca263985b90734a684c6cf04de158ceba557bba20,T5,True,True,True
41bd5c2285dcb3536e999fcd7e2cde21de5cfa8bb2e9842810c6ae8f29e05588,T0,True,True,True
41bd5c2285dcb3536e999fcd7e2cde21de5cfa8bb2e9842810c6ae8f29e05588,T3,True,True,True
41bd5c2285dcb3536e999fcd7e2cde21de5cfa8bb2e9842810c6ae8f29e05588,T4,True,True,True
41bd5c2285dcb3536e999fcd7e2cde21de5cfa8bb2e9842810c6ae8f29e05588,T5,True,True,True
41f4f125f31ef8e2c24b2b54d17e9ec1332933a5182bb658df2b71e74210f07a,T0,True,True,True
41f4f125f31ef8e2c24b2b54d17e9ec1332933a5182bb658df2b71e74210f07a,T3,True,True,True
41f4f125f31ef8e2c24b2b54d17e9ec1332933a5182bb658df2b71e74210f07a,T4,True,True,True
41f4f125f31ef8e2c24b2b54d17e9ec1332933a5182bb658df2b71e74210f07a,T5,True,True,True
425597e7c6465516510ec8386f5266b416983270bf2da29be80104b652ec25af,T0,True,True,True
425597e7c6465516510ec8386f5266b416983270bf2da29be80104b652ec25af,T3,True,True,True
425597e7c6465516510ec8386f5266b416983270bf2da29be80104b652ec25af,T4,True,True,True
425597e7c6465516510ec8386f5266b416983270bf2da29be80104b652ec25af,T5,True,True,True
4271cfe8b61a8a3393e85c06aa38d43ea9b075538d57c363e9ce3260328b75b4,T0,True,True,True
4271cfe8b61a8a3393e85c06aa38d43ea9b075538d57c363e9ce3260328b75b4,T3,True,True,True
4271cfe8b61a8a3393e85c06aa38d43ea9b075538d57c363e9ce3260328b75b4,T4,True,True,True
4271cfe8b61a8a3393e85c06aa38d43ea9b075538d57c363e9ce3260328b75b4,T5,True,True,True
439ffe75992797ee13316de00c9d6aa9971cb83d549d64af220f741dded7b4d2,T0,True,True,True
439ffe75992797ee13316de00c9d6aa9971cb83d549d64af220f741dded7b4d2,T3,True,True,True
439ffe75992797ee13316de00c9d6aa9971cb83d549d64af220f741dded7b4d2,T4,True,True,True
439ffe75992797ee13316de00c9d6aa9971cb83d549d64af220f741dded7b4d2,T5,True,True,True
47ccd792c57b9a4d617bbe4826f0c86753850106491369e516ebbb767746ddec,T0,True,True,True
47ccd792c57b9a4d617bbe4826f0c86753850106491369e516ebbb767746ddec,T3,True,True,True
47ccd792c57b9a4d617bbe4826f0c86753850106491369e516ebbb767746ddec,T4,True,True,True
47ccd792c57b9a4d617bbe4826f0c86753850106491369e516ebbb767746ddec,T5,True,True,True
4ac100f8d53d9f95785c499a24bff4d96fdeced0966b21ee7403971c9268cd5a,T0,True,True,True
