bootstrap_iter,dAUROC1_Mrep_minus_Bknowledge,dAUROC2_Mhybrid_minus_Bknowledge
518,0.171935,0.182419
519,0.188112,0.192855
520,0.279956,0.282544
521,0.153748,0.162929
522,0.207017,0.211909
523,0.205995,0.212231
524,0.132815,0.141704
525,0.215349,0.220026
526,0.111283,0.121503
527,0.139160,0.146061
528,0.218954,0.226113
529,0.217902,0.225051
530,0.188746,0.194354
531,0.218121,0.221039
532,0.224069,0.231655
533,0.237392,0.238968
534,0.192593,0.197333
535,0.182740,0.187409
536,0.215121,0.218974
537,0.187387,0.195063
538,0.192298,0.198280
539,0.224001,0.231549
540,0.202544,0.209533
541,0.160289,0.169785
542,0.176545,0.181996
543,0.150551,0.152846
544,0.110966,0.119793
545,0.174759,0.177871
546,0.140759,0.151163
547,0.143137,0.146749
548,0.230678,0.232895
549,0.232148,0.236593
550,0.236207,0.241172
551,0.169702,0.179205
552,0.074357,0.078794
553,0.201987,0.207405
554,0.181688,0.188052
555,0.281196,0.283209
556,0.243221,0.253844
557,0.158963,0.168148
558,0.118074,0.120000
559,0.209032,0.211256
560,0.065669,0.072235
561,0.142763,0.147229
562,0.177638,0.177326
563,0.187448,0.189684
564,0.213152,0.220663
565,0.243746,0.249497
566,0.254064,0.261288
567,0.219091,0.232461
568,0.193249,0.200098
569,0.193989,0.199637
570,0.093716,0.103946
571,0.267600,0.267472
572,0.125912,0.138022
573,0.225379,0.226759
574,0.182834,0.186812
575,0.197403,0.200905
576,0.124825,0.134890
577,0.226716,0.233115
578,0.136062,0.146293
579,0.213261,0.216583
580,0.146448,0.162703
581,0.174345,0.179724
582,0.216452,0.224677
583,0.187364,0.200436
584,0.193222,0.197414
585,0.177523,0.186190
586,0.222717,0.233659
587,0.274069,0.273931
588,0.225469,0.228475
589,0.191517,0.199793
590,0.257903,0.257903
591,0.085060,0.097899
592,0.110969,0.122166
593,0.211601,0.215005
594,0.140552,0.152966
595,0.278145,0.275726
596,0.156000,0.161778
597,0.146719,0.154922
598,0.109554,0.121339
599,0.315603,0.316391
600,0.202797,0.218397
601,0.140039,0.149408
602,0.195515,0.203492
603,0.203595,0.207713
604,0.146259,0.150935
605,0.217111,0.221556
606,0.192956,0.196358
607,0.082198,0.087439
608,0.107091,0.113364
609,0.099143,0.103427
610,0.200222,0.207926
611,0.269062,0.269487
612,0.204171,0.209462
613,0.210913,0.211085
614,0.181763,0.185435
615,0.134560,0.138442
616,0.174382,0.177976
617,0.091996,0.103197
618,0.146517,0.158721
619,0.210240,0.215745
620,0.163367,0.170177
621,0.152320,0.161803
622,0.190943,0.195300
623,0.208900,0.211451
624,0.199891,0.211096
625,0.215438,0.218263
626,0.209302,0.214657
627,0.081854,0.097460
628,0.111834,0.117633
629,0.171111,0.181481
630,0.238748,0.244339
631,0.257333,0.260889
632,0.214000,0.217586
633,0.183673,0.192060
634,0.289534,0.297585
635,0.310875,0.311400
636,0.194716,0.204501
637,0.195923,0.201681
638,0.179760,0.185910
639,0.235724,0.241241
640,0.121724,0.138138
641,0.190844,0.194610
642,0.240225,0.247374
643,0.154199,0.162171
644,0.120367,0.127653
645,0.140356,0.145900
646,0.172690,0.176138
647,0.203113,0.209680
648,0.077546,0.085279
649,0.165502,0.172491
650,0.163866,0.170713
651,0.167420,0.174132
652,0.154715,0.170869
653,0.218690,0.225862
654,0.131522,0.136229
655,0.165713,0.169627
656,0.192969,0.194926
657,0.189645,0.199880
658,0.202498,0.205554
659,0.129535,0.134779
660,0.223389,0.225724
661,0.100853,0.108121
662,0.189270,0.191585
663,0.246278,0.252296
664,0.177154,0.182398
665,0.208609,0.228627
666,0.139740,0.147403
667,0.216173,0.222183
668,0.169333,0.182963
669,0.110552,0.118000
670,0.091172,0.097793
671,0.080285,0.097902
672,0.177899,0.194492
673,0.209184,0.218821
674,0.214933,0.221605
675,0.217366,0.219235
676,0.212282,0.213821
677,0.034547,0.051043
678,0.221532,0.225081
679,0.175871,0.178172
680,0.168722,0.175666
681,0.193107,0.196568
682,0.263790,0.264919
683,0.193355,0.197090
684,0.210607,0.214984
685,0.233715,0.240984
686,0.184641,0.191176
687,0.168277,0.171761
688,0.176667,0.183778
689,0.106000,0.113586
690,0.251362,0.255719
691,0.109798,0.119779
692,0.224030,0.232054
693,0.209656,0.211135
694,0.153321,0.169422
695,0.222857,0.226494
696,0.143497,0.148064
697,0.130175,0.137363
698,0.245687,0.250431
699,0.237280,0.243989
700,0.101998,0.106024
701,0.134122,0.141354
702,0.165815,0.172808
703,0.052097,0.062581
704,0.207778,0.210864
705,0.111749,0.123937
706,0.163394,0.175901
707,0.101600,0.107301
708,0.197368,0.201346
709,0.255202,0.257650
710,0.003654,0.014615
711,0.139638,0.147263
712,0.238705,0.239362
713,0.205362,0.210825
714,0.206069,0.210207
715,0.236702,0.246478
716,0.188238,0.194532
717,0.132966,0.139172
718,0.115391,0.119759
719,0.216149,0.230280
720,0.158649,0.162672
721,0.263889,0.265387
722,0.259931,0.264897
723,0.130268,0.135837
724,0.117655,0.127310
725,0.238355,0.242237
726,0.197066,0.202594
727,0.183862,0.190897
728,0.102181,0.113782
729,0.180714,0.191883
730,0.207716,0.215264
731,0.176322,0.181106
732,0.389274,0.389597
733,0.148405,0.155780
734,0.155929,0.162465
735,0.098701,0.105121
736,0.181581,0.191242
737,0.159293,0.165904
738,0.171586,0.177793
739,0.148089,0.152612
740,0.078637,0.086975
741,0.153633,0.166326
742,0.197034,0.201586
743,0.228571,0.235893
744,0.224373,0.226057
745,0.136213,0.143258
746,0.099482,0.116302
747,0.141975,0.151702
748,0.232707,0.235975
749,0.144295,0.149256
750,0.221823,0.229298
751,0.195955,0.200946
752,0.192293,0.199770
753,0.169463,0.179093
754,0.068787,0.082504
755,0.198666,0.205202
756,0.206845,0.211664
757,0.222621,0.223862
758,0.130508,0.142136
759,0.220960,0.223548
760,0.241481,0.244148
761,0.202271,0.206153
762,0.187407,0.191407
763,0.200296,0.201778
764,0.297673,0.298211
765,0.092000,0.104741
766,0.147414,0.149250
767,0.192222,0.197852
768,0.113926,0.126963
769,0.150215,0.156805
770,0.283688,0.287891
771,0.078040,0.090984
772,0.167517,0.173469
773,0.170615,0.173747
774,0.186059,0.197240
775,0.118535,0.125944
776,0.233646,0.237097
777,0.159879,0.169643
778,0.208843,0.210985
779,0.243028,0.245615
780,0.232461,0.234330
781,0.222607,0.225316
782,0.199799,0.205833
783,0.202631,0.206800
784,0.170455,0.175421
785,0.207029,0.210792
786,0.210862,0.213508
787,0.248020,0.254039
788,0.138005,0.152387
789,0.136788,0.137938
790,0.200474,0.203493
791,0.132619,0.135638
792,0.203178,0.207512
793,0.225185,0.228148
794,0.051488,0.060524
795,0.189333,0.195371
796,0.192927,0.195515
797,0.196162,0.202517
798,0.221331,0.229355
799,0.125096,0.131039
800,0.137448,0.142276
801,0.199375,0.202830
802,0.145917,0.151668
803,0.209556,0.215185
804,0.176550,0.182420
805,0.183599,0.193390
806,0.237528,0.241071
807,0.243906,0.248724
808,0.119473,0.132511
809,0.107912,0.115600
810,0.269043,0.269741
811,0.197465,0.206002
812,0.125481,0.129926
813,0.133574,0.142361
814,0.149430,0.156874
815,0.182276,0.189405
816,0.284071,0.287885
817,0.243290,0.246505
818,0.175751,0.185884
819,0.134489,0.145390
820,0.123706,0.130175
821,0.195586,0.201655
822,0.213061,0.215645
823,0.245504,0.249872
824,0.204276,0.210059
825,0.284113,0.289274
826,0.211704,0.224889
827,0.124088,0.133134
828,0.201834,0.205687
829,0.159631,0.164943
830,0.098911,0.112090
831,0.142157,0.143927
832,0.156555,0.160006
833,0.169732,0.176161
834,0.133145,0.139597
835,0.159392,0.166466
836,0.296246,0.298464
837,0.157353,0.170776
838,0.173135,0.177083
839,0.154048,0.165613
840,0.230570,0.237280
841,0.199510,0.196450
842,0.188163,0.199795
843,0.128366,0.138617
844,0.185141,0.191012
845,0.261818,0.264736
846,0.220664,0.231953
847,0.200406,0.202213
848,0.195561,0.201077
849,0.222001,0.231793
850,0.147578,0.159980
851,0.228883,0.231293
852,0.124925,0.133654
853,0.123458,0.133652
854,0.235037,0.236963
855,0.196017,0.203020
856,0.175411,0.185803
857,0.143222,0.150888
858,0.196276,0.202207
859,0.145198,0.147499
860,0.223225,0.227356
861,0.192106,0.194657
862,0.188222,0.193704
863,0.179212,0.190179
864,0.222633,0.234961
865,0.187103,0.194414
866,0.199764,0.204886
867,0.217641,0.220242
868,0.150444,0.154593
869,0.222829,0.225561
870,0.170135,0.177632
871,0.136589,0.138847
872,0.109905,0.118675
873,0.113095,0.124150
874,0.243839,0.248125
875,0.159381,0.164961
876,0.180070,0.186525
877,0.207108,0.215550
878,0.204641,0.208415
879,0.150483,0.154345
880,0.322633,0.321783
881,0.233844,0.231718
882,0.236248,0.239968
883,0.193933,0.196090
884,0.097595,0.107959
885,0.204071,0.211598
886,0.216341,0.221726
887,0.115220,0.123614
888,0.210161,0.218065
889,0.204568,0.207037
890,0.245181,0.245465
891,0.253259,0.253259
892,0.108039,0.116793
893,0.125567,0.130102
894,0.198000,0.200519
895,0.181037,0.189333
896,0.158376,0.171414
897,0.151290,0.167021
898,0.196952,0.200259
899,0.141294,0.152769
900,0.293949,0.297712
901,0.139188,0.146853
902,0.288297,0.286160
903,0.197815,0.201840
904,0.106444,0.122148
905,0.157878,0.166939
906,0.102041,0.110402
907,0.142369,0.151563
908,0.244456,0.244602
909,0.219822,0.228402
910,0.206954,0.209211
911,0.097097,0.104516
912,0.180207,0.188483
913,0.219671,0.223639
914,0.252177,0.255242
915,0.115553,0.118617
916,0.175645,0.176290
917,0.187937,0.196275
918,0.128115,0.130883
919,0.154597,0.158629
920,0.251081,0.258200
921,0.117668,0.126725
922,0.223886,0.229004
923,0.162477,0.165939
924,0.203704,0.211173
925,0.151241,0.158828
926,0.085272,0.097075
927,0.180323,0.182742
928,0.214657,0.216646
929,0.274516,0.278710
930,0.219171,0.224067
931,0.192390,0.195020
932,0.121312,0.127032
933,0.278321,0.282202
934,0.173665,0.180840
935,0.260414,0.264966
936,0.223931,0.229586
937,0.147642,0.156268
938,0.168442,0.175195
939,0.157171,0.162273
940,0.201672,0.205215
941,0.148518,0.156626
942,0.196889,0.201778
943,0.111340,0.118309
944,0.101688,0.113506
945,0.117174,0.123674
946,0.188015,0.193064
947,0.160897,0.169175
948,0.264119,0.271474
949,0.134889,0.147630
950,0.175172,0.182207
951,0.251890,0.258958
952,0.092474,0.101403
953,0.147335,0.149011
954,0.193589,0.202303
955,0.252338,0.255882
956,0.327487,0.328062
957,0.172194,0.182540
958,0.191296,0.199568
959,0.270741,0.272667
960,0.131698,0.138019
961,0.161352,0.166171
962,0.262699,0.268054
963,0.339857,0.339479
964,0.158188,0.165563
965,0.181926,0.183111
966,0.230960,0.231106
967,0.136288,0.144567
968,0.156379,0.160138
969,0.251656,0.251957
970,0.120256,0.130750
971,0.206089,0.212209
972,0.262245,0.262574
973,0.185645,0.190504
974,0.175039,0.178122
975,0.139630,0.152718
976,0.196394,0.203243
977,0.195439,0.197181
978,0.188533,0.197051
979,0.164138,0.175034
980,0.308370,0.312667
981,0.158156,0.162645
982,0.195834,0.205200
983,0.175848,0.182073
984,0.081066,0.085459
985,0.184076,0.186936
986,0.142001,0.160053
987,0.223486,0.226736
988,0.118667,0.129778
989,0.240196,0.244087
990,0.151851,0.164091
991,0.163791,0.168423
992,0.164667,0.171333
993,0.181688,0.187532
994,0.233895,0.238110
995,0.221072,0.231427
996,0.217497,0.220195
997,0.210491,0.218016
998,0.200095,0.202955
999,0.129712,0.134938
1000,0.215649,0.231623
1001,0.078565,0.089122
1002,0.244148,0.245406
1003,0.167913,0.173951
1004,0.270798,0.274223
1005,0.209218,0.216028
1006,0.154605,0.165315
1007,0.230345,0.238621
1008,0.178105,0.184329
1009,0.192588,0.198132
1010,0.164488,0.176937
1011,0.234677,0.240161
1012,0.259517,0.264207
1013,0.203093,0.209804
1014,0.048615,0.065172
1015,0.183775,0.189494
1016,0.150390,0.151558
1017,0.297581,0.297258
1018,0.245807,0.245108
1019,0.169829,0.176408
1020,0.259379,0.266000
1021,0.257497,0.259639
1022,0.190051,0.194586
1023,0.179014,0.183708
1024,0.133300,0.141519
1025,0.090909,0.098442
1026,0.227933,0.233971
1027,0.128614,0.140802
1028,0.182432,0.188614
1029,0.259103,0.263693
1030,0.133034,0.140795
1031,0.135566,0.145630
1032,0.130872,0.136708
1033,0.113333,0.122370
1034,0.156888,0.165391
1035,0.132338,0.147013
1036,0.162718,0.165986
1037,0.243037,0.244963
1038,0.157068,0.165332
1039,0.090089,0.096939
1040,0.201512,0.206279
1041,0.175658,0.184162
1042,0.171228,0.183619
1043,0.164074,0.170247
1044,0.205428,0.211239
1045,0.017834,0.030654
1046,0.123588,0.131468
1047,0.055880,0.063758
1048,0.128887,0.139649
1049,0.130889,0.140519
1050,0.195429,0.198971
1051,0.201912,0.204068
1052,0.244296,0.249333
1053,0.211980,0.217947
1054,0.171694,0.174113
1055,0.179570,0.180206
1056,0.162332,0.173654
1057,0.157171,0.159580
1058,0.162718,0.169526
1059,0.161290,0.169194
1060,0.208052,0.211558
1061,0.164721,0.173329
1062,0.139668,0.144062
1063,0.255647,0.261295
1064,0.179644,0.182434
1065,0.164444,0.169630
1066,0.227138,0.231845
1067,0.142174,0.150279
1068,0.248522,0.254746
1069,0.201956,0.209325
1070,0.240530,0.255783
1071,0.057724,0.066552
1072,0.158185,0.164829
1073,0.120089,0.131161
1074,0.153341,0.161169
1075,0.053994,0.076512
1076,0.114483,0.118207
1077,0.103738,0.114289
1078,0.122509,0.133803
1079,0.099947,0.106120
1080,0.160643,0.165320
1081,0.260000,0.262258
1082,0.157271,0.165033
1083,0.182827,0.187668
1084,0.158345,0.164690
1085,0.182097,0.194032
1086,0.186353,0.187729
1087,0.213907,0.224512
1088,0.224828,0.234236
1089,0.124126,0.139850
1090,0.243056,0.245181
1091,0.182702,0.185887
1092,0.176408,0.183599
1093,0.221299,0.224805
1094,0.154684,0.162309
1095,0.236828,0.245517
1096,0.139223,0.147889
1097,0.218487,0.223156
1098,0.285856,0.289966
1099,0.258961,0.260519
1100,0.166545,0.174278
1101,0.186409,0.198299
1102,0.234554,0.240145
1103,0.142901,0.146420
1104,0.277931,0.279724
1105,0.178249,0.184095
1106,0.097847,0.107492
1107,0.231487,0.242023
1108,0.043393,0.057199
1109,0.165259,0.171481
1110,0.161169,0.172211
1111,0.199516,0.200968
1112,0.232214,0.238875
1113,0.216305,0.224852
1114,0.109618,0.112637
1115,0.260811,0.261146
1116,0.192472,0.196910
1117,0.149724,0.156028
1118,0.200181,0.209663
1119,0.153049,0.157280
1120,0.286179,0.288231
1121,0.143570,0.147529
1122,0.188787,0.198448
1123,0.114526,0.127266
1124,0.181259,0.191037
1125,0.181210,0.188629
1126,0.108970,0.120259
1127,0.152387,0.164933
