source_group_id,cell,r_end,c_end,d_pos,order_ok,r_end_tok,c_end_tok,d_pos_tok,prediction_match,d1_d_raw,our_d_raw,d_raw_abs_diff,seq_len
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OO,99,110,118,True,6546,6546,198,True,15.53125,15.53125,0.0,119
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,OS,99,109,117,True,6546,19847,198,True,-22.3125,-22.3125,0.0,118
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SO,98,109,117,True,19847,6546,198,True,-18.65625,-18.65625,0.0,118
1e775ec427e192a7277498b2b5f22a189e2fd5e4a7ebe9a5d7ceb04d0edb4bea,SS,98,108,116,True,19847,19847,198,True,-15.09375,-15.09375,0.0,117
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OO,98,106,114,True,6787,6787,198,True,18.390625,18.390625,0.0,115
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,OS,98,106,114,True,6787,47502,198,True,-20.03125,-20.03125,0.0,115
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SO,98,106,114,True,47502,6787,198,True,-18.71875,-18.71875,0.0,115
20ca76d8e4f85568513476a52df419d075d3dd5fc5ccecf57f95ac7dd8fc87e6,SS,98,106,114,True,47502,47502,198,True,-15.390625,-15.390625,0.0,115
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OO,109,117,125,True,49546,49546,198,True,16.859375,16.859375,0.0,126
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,OS,109,118,126,True,49546,39489,198,True,-21.4375,-21.4375,0.0,127
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SO,110,118,126,True,39489,49546,198,True,-14.3984375,-14.3984375,0.0,127
21b042f63c92b50654186c8fe4187eace9b61ae49c15626476e5b27ce23675bb,SS,110,119,127,True,39489,39489,198,True,-16.03515625,-16.03515625,0.0,128
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OO,102,112,120,True,3658,3658,198,True,16.390625,16.390625,0.0,121
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,OS,102,112,120,True,3658,5106,198,True,-20.5625,-20.5625,0.0,121
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SO,102,112,120,True,5106,3658,198,True,-14.703125,-14.703125,0.0,121
21e85b4efb563c2c7d719cd82eed25f1248ca7f7c8365f703644ce3dc4ad3f31,SS,102,112,120,True,5106,5106,198,True,-10.09375,-10.09375,0.0,121
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OO,97,105,113,True,86736,86736,198,True,17.234375,17.234375,0.0,114
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,OS,97,106,114,True,86736,1534,198,True,-19.90625,-19.90625,0.0,115
230f4886e25e9c27f1c5aeb6202ef50688d4072ec21a5516491ea31cdf4274d7,SO,98,106,114,True,1534,86736,198,True,-16.2421875,-16.2421875,0.0,115
